,CPI
1988-01-01,120.8
1988-02-01,121.1
1988-03-01,121.9
1988-04-01,122.4
1988-05-01,122.7
1988-06-01,123.0
1988-07-01,123.3
1988-08-01,123.8
1988-09-01,124.7
1988-10-01,125.5
1988-11-01,125.8
1988-12-01,126.0
1989-01-01,126.4
1989-02-01,126.9
1989-03-01,127.6
1989-04-01,128.0
1989-05-01,128.3
1989-06-01,128.5
1989-07-01,129.0
1989-08-01,129.3
1989-09-01,130.0
1989-10-01,130.9
1989-11-01,131.3
1989-12-01,131.5
1990-01-01,132.0
1990-02-01,132.8
1990-03-01,133.9
1990-04-01,134.2
1990-05-01,134.4
1990-06-01,134.8
1990-07-01,135.5
1990-08-01,136.4
1990-09-01,137.2
1990-10-01,137.8
1990-11-01,138.2
1990-12-01,138.3
1991-01-01,139.4
1991-02-01,140.3
1991-03-01,140.9
1991-04-01,141.1
1991-05-01,141.3
1991-06-01,141.5
1991-07-01,142.0
1991-08-01,142.7
1991-09-01,143.4
1991-10-01,143.9
1991-11-01,144.4
1991-12-01,144.4
1992-01-01,144.9
1992-02-01,145.6
1992-03-01,146.4
1992-04-01,146.6
1992-05-01,146.7
1992-06-01,146.9
1992-07-01,147.3
1992-08-01,147.7
1992-09-01,148.1
1992-10-01,149.0
1992-11-01,149.3
1992-12-01,149.2
1993-01-01,149.9
1993-02-01,150.8
1993-03-01,151.4
1993-04-01,151.7
1993-05-01,151.7
1993-06-01,151.8
1993-07-01,152.0
1993-08-01,152.6
1993-09-01,152.9
1993-10-01,153.5
1993-11-01,153.9
1993-12-01,153.9
1994-01-01,154.3
1994-02-01,155.0
1994-03-01,155.8
1994-04-01,155.9
1994-05-01,156.0
1994-06-01,156.2
1994-07-01,156.4
1994-08-01,157.0
1994-09-01,157.5
1994-10-01,158.0
1994-11-01,158.2
1994-12-01,157.9
1995-01-01,158.7
1995-02-01,159.6
1995-03-01,160.4
1995-04-01,160.7
1995-05-01,160.8
1995-06-01,160.9
1995-07-01,161.1
1995-08-01,161.6
1995-09-01,162.1
1995-10-01,162.8
1995-11-01,163.0
1995-12-01,162.7
1996-01-01,163.4
1996-02-01,164.2
1996-03-01,164.9
1996-04-01,165.0
1996-05-01,165.1
1996-06-01,165.2
1996-07-01,165.5
1996-08-01,165.8
1996-09-01,166.4
1996-10-01,167.0
1996-11-01,167.2
1996-12-01,167.0
1997-01-01,167.5
1997-02-01,168.3
1997-03-01,169.0
1997-04-01,169.4
1997-05-01,169.3
1997-06-01,169.2
1997-07-01,169.5
1997-08-01,169.6
1997-09-01,170.0
1997-10-01,170.8
1997-11-01,170.8
1997-12-01,170.7
1998-01-01,171.2
1998-02-01,172.1
1998-03-01,172.6
1998-04-01,173.0
1998-05-01,173.1
1998-06-01,173.0
1998-07-01,173.3
1998-08-01,173.8
1998-09-01,174.2
1998-10-01,174.7
1998-11-01,174.8
1998-12-01,174.8
1999-01-01,175.3
1999-02-01,175.7
1999-03-01,176.2
1999-04-01,176.8
1999-05-01,176.6
1999-06-01,176.6
1999-07-01,176.9
1999-08-01,177.1
1999-09-01,177.7
1999-10-01,178.3
1999-11-01,178.4
1999-12-01,178.2
2000-01-01,178.8
2000-02-01,179.5
2000-03-01,180.5
2000-04-01,180.9
2000-05-01,180.9
2000-06-01,181.0
2000-07-01,181.3
2000-08-01,181.7
2000-09-01,182.3
2000-10-01,182.8
2000-11-01,183.0
2000-12-01,182.8
2001-01-01,183.5
2001-02-01,184.4
2001-03-01,185.3
2001-04-01,185.6
2001-05-01,185.5
2001-06-01,185.9
2001-07-01,186.2
2001-08-01,186.6
2001-09-01,187.1
2001-10-01,187.6
2001-11-01,188.1
2001-12-01,187.8
2002-01-01,188.2
2002-02-01,189.2
2002-03-01,189.8
2002-04-01,190.3
2002-05-01,190.2
2002-06-01,190.1
2002-07-01,190.3
2002-08-01,191.0
2002-09-01,191.3
2002-10-01,191.8
2002-11-01,191.8
2002-12-01,191.4
2003-01-01,191.8
2003-02-01,192.5
2003-03-01,193.0
2003-04-01,193.1
2003-05-01,193.2
2003-06-01,193.0
2003-07-01,193.2
2003-08-01,193.5
2003-09-01,193.6
2003-10-01,194.3
2003-11-01,193.9
2003-12-01,193.6
2004-01-01,194.0
2004-02-01,194.9
2004-03-01,196.1
2004-04-01,196.5
2004-05-01,196.5
2004-06-01,196.6
2004-07-01,196.6
2004-08-01,196.8
2004-09-01,197.4
2004-10-01,198.2
2004-11-01,198.1
2004-12-01,197.8
2005-01-01,198.4
2005-02-01,199.5
2005-03-01,200.7
2005-04-01,200.9
2005-05-01,200.8
2005-06-01,200.6
2005-07-01,200.8
2005-08-01,201.0
2005-09-01,201.3
2005-10-01,202.3
2005-11-01,202.3
2005-12-01,202.1
2006-01-01,202.6
2006-02-01,203.6
2006-03-01,204.9
2006-04-01,205.5
2006-05-01,205.7
2006-06-01,205.9
2006-07-01,206.2
2006-08-01,206.7
2006-09-01,207.2
2006-10-01,207.8
2006-11-01,207.6
2006-12-01,207.3
2007-01-01,208.009
2007-02-01,209.112
2007-03-01,209.923
2007-04-01,210.311
2007-05-01,210.316
2007-06-01,210.474
2007-07-01,210.756
2007-08-01,211.111
2007-09-01,211.628
2007-10-01,212.318
2007-11-01,212.435
2007-12-01,212.356
2008-01-01,213.138
2008-02-01,213.866
2008-03-01,214.866
2008-04-01,215.059
2008-05-01,215.18
2008-06-01,215.553
2008-07-01,216.045
2008-08-01,216.476
2008-09-01,216.862
2008-10-01,217.023
2008-11-01,216.69
2008-12-01,216.1
2009-01-01,216.719
2009-02-01,217.685
2009-03-01,218.639
2009-04-01,219.143
2009-05-01,219.128
2009-06-01,219.283
2009-07-01,219.35
2009-08-01,219.596
2009-09-01,220.137
2009-10-01,220.731
2009-11-01,220.384
2009-12-01,220.025
2010-01-01,220.086
2010-02-01,220.602
2010-03-01,221.059
2010-04-01,221.166
2010-05-01,221.193
2010-06-01,221.265
2010-07-01,221.258
2010-08-01,221.551
2010-09-01,221.907
2010-10-01,222.079
2010-11-01,222.077
2010-12-01,221.795
2011-01-01,222.177
2011-02-01,223.011
2011-03-01,223.69
2011-04-01,224.118
2011-05-01,224.534
2011-06-01,224.891
2011-07-01,225.164
2011-08-01,225.874
2011-09-01,226.289
2011-10-01,226.743
