,Open,High,Low,Close,Adj Close,Volume
2000-07-01,10.06,10.06,10.06,10.06,5.68,0
2000-08-01,10.13,10.13,10.13,10.13,5.72,0
2000-09-01,10.21,10.21,10.21,10.21,5.76,0
2000-10-01,10.14,10.14,10.14,10.14,5.72,0
2000-11-01,10.28,10.28,10.28,10.28,5.8,0
2000-12-01,10.41,10.41,10.41,10.41,5.88,0
2001-01-01,10.44,10.44,10.44,10.44,5.89,0
2001-02-01,10.6,10.6,10.6,10.6,5.98,0
2001-03-01,10.75,10.75,10.75,10.75,6.07,0
2001-04-01,10.72,10.72,10.72,10.72,6.05,0
2001-05-01,10.79,10.79,10.79,10.79,6.09,0
2001-06-01,10.91,10.91,10.91,10.91,6.16,0
2001-07-01,10.73,10.73,10.73,10.73,6.15,0
2001-08-01,10.9,10.9,10.9,10.9,6.24,0
2001-09-01,10.87,10.87,10.87,10.87,6.23,0
2001-10-01,10.87,10.87,10.87,10.87,6.3,0
2001-11-01,11.22,11.22,11.22,11.22,6.5,0
2001-12-01,10.86,10.86,10.86,10.86,6.29,0
2002-01-01,10.61,10.61,10.61,10.61,6.15,0
2002-02-01,10.7,10.7,10.7,10.7,6.2,0
2002-03-01,10.83,10.83,10.83,10.83,6.27,0
2002-04-01,10.76,10.76,10.76,10.76,6.25,0
2002-05-01,11.08,11.08,11.08,11.08,6.44,0
2002-06-01,11.23,11.23,11.23,11.23,6.52,0
2002-07-01,11.19,11.19,11.19,11.19,6.5,0
2002-08-01,11.4,11.4,11.4,11.4,6.62,0
2002-09-01,11.87,11.87,11.87,11.87,6.89,0
2002-10-01,11.91,11.91,11.91,11.91,6.92,0
2002-11-01,11.62,11.62,11.62,11.62,6.75,0
2002-12-01,11.65,11.65,11.65,11.65,6.77,0
2003-01-01,11.72,11.72,11.72,11.72,6.81,0
2003-02-01,11.9,11.9,11.9,11.9,6.91,0
2003-03-01,12.36,12.36,12.36,12.36,7.18,0
2003-04-01,12.09,12.09,12.09,12.09,7.02,0
2003-05-01,12.07,12.07,12.07,12.07,7.01,0
2003-06-01,12.55,12.55,12.55,12.55,7.29,0
2003-07-01,12.26,12.26,12.26,12.26,7.24,0
2003-08-01,11.77,11.77,11.77,11.77,6.95,0
2003-09-01,11.84,11.84,11.84,11.84,6.99,0
2003-10-01,12.26,12.26,12.26,12.26,7.27,0
2003-11-01,12.32,12.32,12.32,12.32,7.3,0
2003-12-01,12.34,12.34,12.34,12.34,7.31,0
2004-01-01,12.16,12.16,12.16,12.16,7.35,0
2004-02-01,12.37,12.37,12.37,12.37,7.48,0
2004-03-01,12.68,12.68,12.68,12.68,7.67,0
2004-04-01,12.77,12.77,12.77,12.77,7.75,0
2004-05-01,12.21,12.21,12.21,12.21,7.41,0
2004-06-01,12.44,12.44,12.44,12.44,7.55,0
2004-07-01,12.24,12.24,12.24,12.24,7.56,0
2004-08-01,12.31,12.31,12.31,12.31,7.6,0
2004-09-01,12.61,12.61,12.61,12.61,7.79,0
2004-10-01,12.41,12.41,12.41,12.41,7.76,0
2004-11-01,12.55,12.55,12.55,12.55,7.85,0
2004-12-01,12.53,12.53,12.53,12.53,7.84,0
2005-01-01,12.55,12.55,12.55,12.55,7.98,0
2005-02-01,12.55,12.55,12.55,12.55,7.98,0
2005-03-01,12.52,12.52,12.52,12.52,7.96,0
2005-04-01,12.52,12.52,12.52,12.52,8.0,0
2005-05-01,12.71,12.71,12.71,12.71,8.12,0
2005-06-01,12.9,12.9,12.9,12.9,8.24,0
2005-07-01,12.53,12.53,12.53,12.53,8.17,0
2005-08-01,12.28,12.28,12.28,12.28,8.0,0
