,Open,High,Low,Close,Adj Close,Volume
2000-07-01,27.5,27.5,27.5,27.5,9.56,0
2000-08-01,27.74,27.74,27.74,27.74,9.65,0
2000-09-01,28.58,28.58,28.58,28.58,9.94,0
2000-10-01,28.12,28.12,28.12,28.12,9.87,0
2000-11-01,28.75,28.75,28.75,28.75,10.09,0
2000-12-01,28.83,28.83,28.83,28.83,10.12,0
2001-01-01,28.16,28.16,28.16,28.16,10.53,0
2001-02-01,28.97,28.97,28.97,28.97,10.83,0
2001-03-01,28.72,28.72,28.72,28.72,10.74,0
2001-04-01,27.74,27.74,27.74,27.74,10.47,0
2001-05-01,28.98,28.98,28.98,28.98,10.93,0
2001-06-01,29.43,29.43,29.43,29.43,11.1,0
2001-07-01,28.84,28.84,28.84,28.84,10.97,0
2001-08-01,29.07,29.07,29.07,29.07,11.05,0
2001-09-01,28.55,28.55,28.55,28.55,10.86,0
2001-10-01,26.67,26.67,26.67,26.67,10.23,0
2001-11-01,27.52,27.52,27.52,27.52,10.56,0
2001-12-01,28.28,28.28,28.28,28.28,10.85,0
2002-01-01,27.28,27.28,27.28,27.28,11.0,0
2002-02-01,27.25,27.25,27.25,27.25,10.99,0
2002-03-01,27.9,27.9,27.9,27.9,11.25,0
2002-04-01,27.91,27.91,27.91,27.91,11.33,0
2002-05-01,27.51,27.51,27.51,27.51,11.17,0
2002-06-01,27.21,27.21,27.21,27.21,11.05,0
2002-07-01,26.19,26.19,26.19,26.19,10.72,0
2002-08-01,24.79,24.79,24.79,24.79,10.14,0
2002-09-01,24.66,24.66,24.66,24.66,10.09,0
2002-10-01,23.85,23.85,23.85,23.85,9.85,0
2002-11-01,24.39,24.39,24.39,24.39,10.07,0
2002-12-01,25.23,25.23,25.23,25.23,10.42,0
2003-01-01,24.95,24.95,24.95,24.95,10.39,0
2003-02-01,24.09,24.09,24.09,24.09,10.03,0
2003-03-01,23.71,23.71,23.71,23.71,9.88,0
2003-04-01,23.73,23.73,23.73,23.73,9.96,0
2003-05-01,24.96,24.96,24.96,24.96,10.48,0
2003-06-01,26.44,26.44,26.44,26.44,11.1,0
2003-07-01,26.39,26.39,26.39,26.39,11.15,0
2003-08-01,25.99,25.99,25.99,25.99,10.98,0
2003-09-01,26.79,26.79,26.79,26.79,11.32,0
2003-10-01,26.85,26.85,26.85,26.85,11.43,0
2003-11-01,27.48,27.48,27.48,27.48,11.69,0
2003-12-01,27.9,27.9,27.9,27.9,11.87,0
2004-01-01,28.77,28.77,28.77,28.77,12.33,0
2004-02-01,29.05,29.05,29.05,29.05,12.45,0
2004-03-01,29.79,29.79,29.79,29.79,12.77,0
2004-04-01,29.36,29.36,29.36,29.36,12.67,0
2004-05-01,28.91,28.91,28.91,28.91,12.47,0
2004-06-01,28.76,28.76,28.76,28.76,12.41,0
2004-07-01,28.97,28.97,28.97,28.97,12.59,0
2004-08-01,28.87,28.87,28.87,28.87,12.54,0
2004-09-01,29.25,29.25,29.25,29.25,12.71,0
2004-10-01,29.67,29.67,29.67,29.67,12.98,0
2004-11-01,29.77,29.77,29.77,29.77,13.03,0
2004-12-01,30.79,30.79,30.79,30.79,13.48,0
2005-01-01,29.98,29.98,29.98,29.98,13.64,0
2005-02-01,29.97,29.97,29.97,29.97,13.63,0
2005-03-01,30.58,30.58,30.58,30.58,13.91,0
2005-04-01,29.77,29.77,29.77,29.77,13.63,0
2005-05-01,29.76,29.76,29.76,29.76,13.63,0
2005-06-01,30.36,30.36,30.36,30.36,13.9,0
2005-07-01,30.18,30.18,30.18,30.18,13.92,0
2005-08-01,30.81,30.81,30.81,30.81,14.21,0
2005-09-01,31.2,31.2,31.2,31.2,14.39,0
2005-10-01,31.14,31.14,31.14,31.14,14.46,0
2005-11-01,30.59,30.59,30.59,30.59,14.2,0
2005-12-01,31.62,31.62,31.62,31.62,14.68,0
2006-01-01,30.69,30.69,30.69,30.69,14.83,0
2006-02-01,31.13,31.13,31.13,31.13,15.05,0
2006-03-01,31.21,31.21,31.21,31.21,15.09,0
2006-04-01,31.16,31.16,31.16,31.16,15.16,0
2006-05-01,31.58,31.58,31.58,31.58,15.37,0
2006-06-01,31.42,31.42,31.42,31.42,15.29,0
2006-07-01,31.17,31.17,31.17,31.17,15.29,0
2006-08-01,31.43,31.43,31.43,31.43,15.42,0
2006-09-01,32.27,32.27,32.27,32.27,15.83,0
2006-10-01,32.3,32.3,32.3,32.3,15.97,0
2006-11-01,33.12,33.12,33.12,33.12,16.37,0
2006-12-01,33.71,33.71,33.71,33.71,16.66,0
2007-01-01,32.41,32.41,32.41,32.41,16.85,0
2007-02-01,32.8,32.8,32.8,32.8,17.06,0
2007-03-01,32.42,32.42,32.42,32.42,16.86,0
2007-04-01,32.69,32.69,32.69,32.69,17.11,0
2007-05-01,33.77,33.77,33.77,33.77,17.68,0
2007-06-01,34.52,34.52,34.52,34.52,18.07,0
2007-07-01,34.23,34.23,34.23,34.23,18.06,0
2007-08-01,33.59,33.59,33.59,33.59,17.73,0
2007-09-01,34.11,34.11,34.11,34.11,18.0,0
2007-10-01,34.99,34.99,34.99,34.99,18.6,0
2007-11-01,34.47,34.47,34.47,34.47,18.33,0
2007-12-01,34.52,34.52,34.52,34.52,18.35,0
2008-01-01,32.49,32.49,32.49,32.49,18.2,0
2008-02-01,31.98,31.98,31.98,31.98,17.91,0
2008-03-01,31.46,31.46,31.46,31.46,17.62,0
2008-04-01,31.63,31.63,31.63,31.63,17.85,0
2008-05-01,32.26,32.26,32.26,32.26,18.2,0
2008-06-01,32.05,32.05,32.05,32.05,18.08,0
2008-07-01,30.32,30.32,30.32,30.32,17.26,0
2008-08-01,29.79,29.79,29.79,29.79,16.96,0
2008-09-01,30.07,30.07,30.07,30.07,17.12,0
2008-10-01,27.61,27.61,27.61,27.61,15.86,0
2008-11-01,24.31,24.31,24.31,24.31,13.97,0
2008-12-01,22.51,22.51,22.51,22.51,12.93,0
2009-01-01,24.82,24.82,24.82,24.82,14.42,0
2009-02-01,23.15,23.15,23.15,23.15,13.45,0
2009-03-01,21.03,21.03,21.03,21.03,12.22,0
2009-04-01,22.77,22.77,22.77,22.77,13.35,0
2009-05-01,23.99,23.99,23.99,23.99,14.07,0
2009-06-01,25.63,25.63,25.63,25.63,15.03,0
2009-07-01,25.31,25.31,25.31,25.31,14.98,0
2009-08-01,26.9,26.9,26.9,26.9,15.92,0
2009-09-01,27.0,27.0,27.0,27.0,15.98,0
2009-10-01,27.47,27.47,27.47,27.47,16.38,0
2009-11-01,27.85,27.85,27.85,27.85,16.61,0
2009-12-01,29.23,29.23,29.23,29.23,17.43,0
2010-01-01,29.19,29.19,29.19,29.19,17.56,0
2010-02-01,28.57,28.57,28.57,28.57,17.19,0
2010-03-01,28.96,28.96,28.96,28.96,17.42,0
2010-04-01,29.89,29.89,29.89,29.89,18.1,0
2010-05-01,30.13,30.13,30.13,30.13,18.24,0
2010-06-01,28.04,28.04,28.04,28.04,16.98,0
2010-07-01,27.46,27.46,27.46,27.46,16.76,0
2010-08-01,29.43,29.43,29.43,29.43,17.96,0
2010-09-01,28.82,28.82,28.82,28.82,17.59,0
2010-10-01,29.72,29.72,29.72,29.72,18.27,0
2010-11-01,30.25,30.25,30.25,30.25,18.59,0
2010-12-01,30.3,30.3,30.3,30.3,18.62,0
2011-01-01,31.3,31.3,31.3,31.3,19.38,0
2011-02-01,32.12,32.12,32.12,32.12,19.88,0
2011-03-01,32.15,32.15,32.15,32.15,19.9,0
2011-04-01,32.37,32.37,32.37,32.37,20.17,0
2011-05-01,33.11,33.11,33.11,33.11,20.63,0
2011-06-01,32.49,32.49,32.49,32.49,20.24,0
2011-07-01,32.5,32.5,32.5,32.5,20.4,0
2011-08-01,31.74,31.74,31.74,31.74,19.92,0
2011-09-01,30.54,30.54,30.54,30.54,19.17,0
2011-10-01,28.71,28.71,28.71,28.71,18.17,0
2011-11-01,30.73,30.73,30.73,30.73,19.45,0
2011-12-01,30.98,30.98,30.98,30.98,19.6,0
2012-01-01,31.72,31.72,31.72,31.72,20.24,0
2012-02-01,32.58,32.58,32.58,32.58,20.79,0
2012-03-01,33.35,33.35,33.35,33.35,21.28,0
2012-04-01,33.65,33.65,33.65,33.65,21.62,0
2012-05-01,33.56,33.56,33.56,33.56,21.56,0
2012-06-01,31.69,31.69,31.69,31.69,20.36,0
2012-07-01,33.01,33.01,33.01,33.01,21.36,0
2012-08-01,33.35,33.35,33.35,33.35,21.58,0
2012-09-01,33.73,33.73,33.73,33.73,21.83,0
2012-10-01,34.34,34.34,34.34,34.34,22.37,0
2012-11-01,34.44,34.44,34.44,34.44,22.43,0
2012-12-01,34.18,34.18,34.18,34.18,22.26,0
