,CPI,YOY
1987-01,115.8,
1987-02,116.1,
1987-03,116.8,
1987-04,117.4,
1987-05,117.6,
1987-06,117.7,
1987-07,118.0,
1987-08,118.6,
1987-09,119.4,
1987-10,120.1,
1987-11,120.5,
1987-12,120.4,
1988-01,120.8,4.317789291882557
1988-02,121.1,4.306632213608963
1988-03,121.9,4.366438356164393
1988-04,122.4,4.258943781942071
1988-05,122.7,4.336734693877564
1988-06,123.0,4.502973661852172
1988-07,123.3,4.491525423728815
1988-08,123.8,4.384485666104565
1988-09,124.7,4.438860971524283
1988-10,125.5,4.4962531223980085
1988-11,125.8,4.398340248962662
1988-12,126.0,4.6511627906976605
1989-01,126.4,4.635761589403975
1989-02,126.9,4.789430222956237
1989-03,127.6,4.675963904840019
1989-04,128.0,4.575163398692816
1989-05,128.3,4.563977180114098
1989-06,128.5,4.471544715447151
1989-07,129.0,4.622871046228716
1989-08,129.3,4.44264943457191
1989-09,130.0,4.2502004811547645
1989-10,130.9,4.302788844621519
1989-11,131.3,4.3720190779014345
1989-12,131.5,4.365079365079372
1990-01,132.0,4.430379746835444
1990-02,132.8,4.6493301812450705
1990-03,133.9,4.937304075235116
1990-04,134.2,4.843749999999991
1990-05,134.4,4.754481683554168
1990-06,134.8,4.902723735408565
1990-07,135.5,5.03875968992249
1990-08,136.4,5.491105955143083
1990-09,137.2,5.5384615384615365
1990-10,137.8,5.271199388846459
1990-11,138.2,5.255140898705246
1990-12,138.3,5.171102661596971
1991-01,139.4,5.606060606060614
1991-02,140.3,5.647590361445776
1991-03,140.9,5.227781926811059
1991-04,141.1,5.141579731743673
1991-05,141.3,5.133928571428581
1991-06,141.5,4.970326409495529
1991-07,142.0,4.797047970479706
1991-08,142.7,4.618768328445744
1991-09,143.4,4.5189504373178035
1991-10,143.9,4.426705370101591
1991-11,144.4,4.486251808972508
1991-12,144.4,4.410701373825021
1992-01,144.9,3.9454806312769097
1992-02,145.6,3.7776193870277863
1992-03,146.4,3.9034776437189445
1992-04,146.6,3.8979447200566897
1992-05,146.7,3.821656050955391
1992-06,146.9,3.81625441696114
1992-07,147.3,3.7323943661971892
1992-08,147.7,3.5038542396636396
1992-09,148.1,3.2775453277545274
1992-10,149.0,3.5441278665740095
1992-11,149.3,3.393351800554023
1992-12,149.2,3.32409972299168
1993-01,149.9,3.450655624568677
1993-02,150.8,3.571428571428581
1993-03,151.4,3.4153005464480968
1993-04,151.7,3.47885402455661
1993-05,151.7,3.4083162917518672
1993-06,151.8,3.335602450646702
1993-07,152.0,3.1907671418873074
1993-08,152.6,3.3175355450236976
1993-09,152.9,3.241053342336264
1993-10,153.5,3.0201342281879207
1993-11,153.9,3.0810448760884013
1993-12,153.9,3.1501340482573914
1994-01,154.3,2.9352901934623032
1994-02,155.0,2.785145888594154
1994-03,155.8,2.9062087186261687
1994-04,155.9,2.7686222808174232
1994-05,156.0,2.8345418589321048
1994-06,156.2,2.898550724637672
1994-07,156.4,2.894736842105261
1994-08,157.0,2.8833551769331667
1994-09,157.5,3.00850228907783
1994-10,158.0,2.931596091205213
1994-11,158.2,2.7940220922676895
1994-12,157.9,2.599090318388564
1995-01,158.7,2.8515878159429464
1995-02,159.6,2.9677419354838586
1995-03,160.4,2.9525032092426073
1995-04,160.7,3.078896728672209
1995-05,160.8,3.076923076923088
1995-06,160.9,3.008962868117804
1995-07,161.1,3.0051150895140655
1995-08,161.6,2.9299363057324834
1995-09,162.1,2.9206349206349236
1995-10,162.8,3.03797468354432
1995-11,163.0,3.034134007585343
1995-12,162.7,3.0398986700443276
1996-01,163.4,2.9615626969124342
1996-02,164.2,2.8822055137844638
1996-03,164.9,2.8054862842892714
1996-04,165.0,2.675793403858129
1996-05,165.1,2.6741293532338117
1996-06,165.2,2.672467371037901
1996-07,165.5,2.7312228429546836
1996-08,165.8,2.5990099009901124
1996-09,166.4,2.652683528685995
1996-10,167.0,2.5798525798525818
1996-11,167.2,2.5766871165644023
1996-12,167.0,2.6429010448678625
1997-01,167.5,2.5091799265605896
1997-02,168.3,2.496954933008544
1997-03,169.0,2.486355366889015
1997-04,169.4,2.6666666666666616
1997-05,169.3,2.5439127801332617
1997-06,169.2,2.421307506053272
1997-07,169.5,2.4169184290030232
1997-08,169.6,2.2919179734619988
1997-09,170.0,2.163461538461542
1997-10,170.8,2.275449101796423
1997-11,170.8,2.1531100478469067
1997-12,170.7,2.215568862275452
1998-01,171.2,2.208955223880582
1998-02,172.1,2.257872846108122
1998-03,172.6,2.130177514792897
1998-04,173.0,2.125147579693021
1998-05,173.1,2.2445363260484186
1998-06,173.0,2.245862884160754
